============================= test session starts ==============================
platform linux -- Python 3.12.12, pytest-8.4.2, pluggy-1.6.0 -- /usr/bin/python3
cachedir: .pytest_cache
rootdir: /content/CEG-WM
configfile: pyproject.toml
plugins: anyio-4.12.1, langsmith-0.7.3, typeguard-4.5.0
collecting ... collected 220 items / 1 skipped

tests/test_artifacts_semantic_bypass_guard.py::test_artifacts_reject_records_semantic_fields PASSED [  0%]
tests/test_artifacts_semantic_bypass_guard.py::test_artifacts_allow_controlled_fields PASSED [  0%]
tests/test_artifacts_semantic_bypass_guard.py::test_artifacts_reject_whitelist_digest_fields PASSED [  1%]
tests/test_artifacts_semantic_bypass_guard.py::test_critical_outputs_use_controlled_write_path PASSED [  1%]
tests/test_content_detector_lf_status_propagation.py::test_content_detector_propagates_lf_absent_status PASSED [  2%]
tests/test_content_detector_lf_status_propagation.py::test_content_detector_propagates_lf_mismatch_status PASSED [  2%]
tests/test_content_detector_lf_status_propagation.py::test_content_detector_propagates_lf_failed_status PASSED [  3%]
tests/test_content_detector_lf_status_propagation.py::test_content_detector_success_with_lf_score PASSED [  3%]
tests/test_content_placeholder_extractor.py::test_content_placeholder_extractor_absent_and_audit PASSED [  4%]
tests/test_detect_failure_reasons_must_be_non_empty.py::test_paper_faithfulness_consistency_absent_reasons_non_empty PASSED [  4%]
tests/test_detect_failure_reasons_must_be_non_empty.py::test_paper_faithfulness_consistency_mismatch_digest_absent_reasons_non_empty PASSED [  5%]
tests/test_detect_failure_reasons_must_be_non_empty.py::test_paper_faithfulness_consistency_fail_digest_fail_reasons_non_empty PASSED [  5%]
tests/test_detect_failure_reasons_must_be_non_empty.py::test_paper_faithfulness_consistency_ok_all_reasons_empty PASSED [  5%]
tests/test_detect_failure_reasons_must_be_non_empty.py::test_paper_faithfulness_consistency_missing_content_evidence_absent_reasons_non_empty PASSED [  6%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestContentEvidenceDataclassAdaptation::test_adapt_content_evidence_calls_as_dict_method PASSED [  6%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestContentEvidenceDataclassAdaptation::test_adapt_content_evidence_from_dict PASSED [  7%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestContentEvidenceDataclassAdaptation::test_adapt_content_evidence_absent_status PASSED [  7%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestContentEvidenceDataclassAdaptation::test_adapt_content_evidence_mismatch_status PASSED [  8%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestGeometryEvidenceDataclassAdaptation::test_adapt_geometry_evidence_from_dict PASSED [  8%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestDetectOrchestratorWithContentDetector::test_detect_orchestrator_accepts_content_evidence_dataclass PASSED [  9%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestDetectOrchestratorWithContentDetector::test_detect_orchestrator_payload_preservation PASSED [  9%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestDetectOrchestratorWithContentDetector::test_detect_orchestrator_fusion_receives_adapted_dict PASSED [ 10%]
tests/test_detect_orchestrator_accepts_content_evidence_dataclass.py::TestDetectOrchestratorWithContentDetector::test_content_evidence_payload_roundtrip PASSED [ 10%]
tests/test_detect_paper_faithfulness_consistency_ok_on_same_run_root.py::test_detect_paper_faithfulness_consistency_ok_on_same_run_root PASSED [ 10%]
tests/test_detect_paper_faithfulness_consistency_ok_on_same_run_root.py::test_detect_paper_faithfulness_consistency_ok_with_trajectory_digest PASSED [ 11%]
tests/test_detect_plan_mismatch_is_mismatch.py::test_detect_plan_mismatch_is_mismatch PASSED [ 11%]
tests/test_detect_plan_mismatch_is_mismatch.py::test_detect_trajectory_digest_mismatch_is_mismatch PASSED [ 12%]
tests/test_detect_plan_mismatch_is_mismatch.py::test_detect_trajectory_absent_forces_absent PASSED [ 12%]
tests/test_fusion_decision_single_exit.py::test_orchestrator_does_not_write_decision PASSED [ 13%]
tests/test_fusion_decision_single_exit.py::test_fusion_baseline_returns_fusion_decision PASSED [ 13%]
tests/test_fusion_decision_single_exit.py::test_geometry_failure_does_not_change_content_score_or_thresholds PASSED [ 14%]
tests/test_fusion_decision_single_exit.py::test_fusion_decision_allow_null_for_abstain PASSED [ 14%]
tests/test_fusion_decision_single_exit.py::test_schema_validate_record_without_decision_write PASSED [ 15%]
tests/test_fusion_decision_single_exit.py::test_fusion_result_json_serializable PASSED [ 15%]
tests/test_fusion_decision_single_exit.py::test_cli_collect_and_serialize_fusion_result PASSED [ 15%]
tests/test_fusion_decision_single_exit.py::test_decision_writer_only_writes_decision_field PASSED [ 16%]
tests/test_fusion_decision_single_exit.py::test_detect_evaluate_symmetry PASSED [ 16%]
tests/test_fusion_decision_single_exit.py::test_cli_order_enforcement PASSED [ 17%]
tests/test_fusion_decision_single_exit.py::test_cli_missing_fusion_result_fails_fast PASSED [ 17%]
tests/test_injection_callback_in_infer_runtime.py::test_injection_callback_smoke PASSED [ 18%]
tests/test_injection_callback_in_infer_runtime.py::test_injection_unsupported_callback_absent PASSED [ 18%]
tests/test_injection_callback_in_infer_runtime.py::test_injection_params_not_in_digest_domain_must_mismatch PASSED [ 19%]
tests/test_injection_scope_manifest_loading.py::test_injection_scope_manifest_loads_with_digests PASSED [ 19%]
tests/test_injection_scope_manifest_loading.py::test_injection_scope_manifest_missing_version_fails PASSED [ 20%]
tests/test_injection_scope_manifest_loading.py::test_injection_scope_manifest_real_config_loads PASSED [ 20%]
